,Condition,Total_DAPI_Intensity,Mean_PCNA_Intensity,Mean_γH2AX_intensity
211,-DarT,6465895,309.136153572698,24.0138642019197
212,-DarT,3222706,98.9245933957615,29.1010349926072
213,-DarT,2685864,317.680252304706,14.7176128093159
214,-DarT,7000636,82.1014686248332,18.7129506008011
215,-DarT,2845740,72.3881856540085,19.9008438818565
216,-DarT,3098155,77.6968559361802,39.2336931018301
217,-DarT,2065037,89.4094861660079,14.8150197628458
218,-DarT,7224359,80.674542232723,13.7215002953337
219,-DarT,7206180,200.075007076139,33.7362015284461
220,-DarT,3536878,410.083826879271,25.2236902050114
221,-DarT,3977214,271.523461041756,28.3504089539389
222,-DarT,3644771,270.493455497382,18.3787085514834
223,-DarT,6595043,310.657573998839,25.6633778293674
224,-DarT,3355244,84.8093415007656,26.4349157733538
225,-DarT,7237370,105.660926365796,23.4061757719715
226,-DarT,4243312,375.587741393787,26.5205709487825
227,-DarT,3307627,92.7053571428571,22.7108516483516
228,-DarT,4089417,354.815478615071,20.6309572301426
229,-DarT,7131598,81.980092899801,23.3623092236231
230,-DarT,5817873,395.612351190476,81.8121279761905
231,-DarT,5873582,387.30160390516,82.7660390516039
232,-DarT,4635370,532.441048034935,20.8676855895197
233,-DarT,4594138,367.849177697553,22.6658644203771
234,-DarT,3613760,282.455195424214,17.4428026692088
235,-DarT,3494084,205.735970561178,13.6734130634775
236,-DarT,3546588,233.063272367771,54.4152249134948
237,-DarT,4216195,428.165835411471,18.7946799667498
238,-DarT,3706178,87.8714224690303,27.280222127296
239,-DarT,3613334,82.0474365117393,23.0814566363201
240,-DarT,6747684,493.53297632469,58.9332018038331
241,-DarT,3881757,101.352084379709,30.9854344550477
242,-DarT,6346321,559.068743650525,60.9983068066373
243,-DarT,7251389,97.6643564356435,70.9171617161716
244,-DarT,6158391,780.755492270138,113.906427990236
245,-DarT,3682446,99.173219978746,92.6360255047821
246,-DarT,7445894,83.281954887218,14.6471535982814
247,-DarT,6802010,259.170123022847,25.271704745167
248,-DarT,7684992,153.20942408377,47.4992300585156
249,-DarT,4458925,387.397932816537,25.1339977851606
250,-DarT,6308658,482.437546468401,24.4672862453532
251,-DarT,7180675,252.137862796834,30.8156332453826
252,-DarT,3453568,73.0398230088496,27.3407079646018
253,-DarT,3838521,324.131134020619,28.659793814433
254,-DarT,7012922,85.5176902536716,21.489652870494
255,-DarT,7311862,86.8585941790225,40.2108731466227
256,-DarT,5765507,456.458393113343,51.9974892395983
257,-DarT,4203535,393.239261168385,42.5571305841924
258,-DarT,6082768,589.9536,58.1476
259,-DarT,7321209,86.6928049465993,23.4179314221473
260,-DarT,3627625,82.840681951793,19.9823633156967
261,-DarT,7471277,97.6849269588314,34.8330013280213
262,-DarT,3654669,92.0556680161943,24.3051619433198
263,-DarT,3727174,85.5223350253807,21.9736040609137
264,-DarT,5854068,609.924673328209,55.5933897002306
265,-DarT,3820288,84.9931972789116,14.9471480900052
266,-DarT,4191034,328.806942277691,18.4036661466459
267,-DarT,6863070,625.621326299925,46.5964581763376
268,-DarT,3698985,88.5668341708542,26.529648241206
269,-DarT,4078734,520.220501138952,39.8118451025057
270,-DarT,4233101,514.035182679296,36.5087956698241
271,-DarT,3734289,86.1868300153139,44.6447166921899
272,-DarT,7180943,74.5311804008909,34.7736636971047
273,-DarT,4847890,505.408003138486,27.6488819144763
274,-DarT,7362877,251.526289052578,37.990093980188
275,-DarT,4169922,460.025079617834,16.9016719745223
276,-DarT,3343185,439.636322257624,647.002730996814
277,-DarT,4515212,511.080523601745,18.4863149543832
278,-DarT,3570771,77.8706592853548,20.4006039255159
279,-DarT,4110737,482.339926402944,38.6954921803128
280,-DarT,3880373,427.353355232285,31.4345377756921
281,-DarT,5966491,567.69324925816,38.8345697329377
282,-DarT,5969773,428.392463562033,33.5687877710629
283,-DarT,7450661,75.2447112635792,18.1097770154374
284,-DarT,3937230,325.877725523728,24.2984181274049
285,-DarT,4714835,399.963334486337,18.8554133517814
286,-DarT,6982023,399.836500838457,38.1998323085523
287,-DarT,3952249,394.913684210526,42.1073684210526
288,-DarT,3566330,275.30081300813,19.2271906052394
289,-DarT,3847038,91.1015463917525,20.5690721649485
290,-DarT,3925937,84.6838842975206,18.3289256198347
291,-DarT,3827573,88.4175420168067,50.0225840336134
292,-DarT,3781777,87.0527718550106,22.8043710021322
293,-DarT,3821659,94.5998057309373,57.0621661000486
294,-DarT,3851906,84.2264234875445,21.9715302491103
295,-DarT,3884119,89.7801827801828,37.1072631072631
296,-DarT,3804881,226.284220100045,27.3806275579809
297,-DarT,3827932,95.113987058238,31.8312593330015
298,-DarT,3775131,90.8665603402445,23.1143009037746
299,-DarT,3840308,85.2624737945492,17.5006289308176
300,-DarT,6189187,567.109432695535,27.893924135616
301,-DarT,3787838,77.5791970802919,10.1339416058394
302,-DarT,5792388,396.84332688588,44.1721470019342
303,-DarT,6088517,414.7684169279,62.0003918495298
304,-DarT,3743008,77.525550660793,20.8264317180617
305,-DarT,3736291,75.4252964426878,17.9612648221344
306,-DarT,3357032,70.1159654800432,20.3284789644013
307,-DarT,6911372,83.8203327171904,27.2669131238447
308,-DarT,3469868,73.7510936132984,25.9409448818898
309,-DarT,3504120,77.8634247284015,38.1163993792033
310,-DarT,3351441,77.9125581395349,22.1604651162791
311,-DarT,4087191,540.891038696538,53.9567209775967
312,-DarT,5330473,356.575507137491,42.6863260706236
313,-DarT,3722104,462.940847694457,54.6204005589194
